topic_a,topic_b,similarity,keywords_a,keywords_b,recommendation
1,8,0.86844313,"investment, private investment, new private, private","llc, person llc, series, preferred",MERGE
8,20,0.86381656,"llc, person llc, series, preferred","update, valuations, 30 2023, 000",MERGE
8,22,0.84958184,"llc, person llc, series, preferred","transfer, general updates, general, person",CONSIDER
8,18,0.8450086,"llc, person llc, series, preferred","missing, missing data, updates, data",CONSIDER
18,22,0.81535435,"missing, missing data, updates, data","transfer, general updates, general, person",CONSIDER
1,22,0.8126651,"investment, private investment, new private, private","transfer, general updates, general, person",CONSIDER
3,8,0.8118984,"excel, commitment, client, file","llc, person llc, series, preferred",CONSIDER
18,20,0.8078303,"missing, missing data, updates, data","update, valuations, 30 2023, 000",CONSIDER
3,18,0.80611134,"excel, commitment, client, file","missing, missing data, updates, data",CONSIDER
3,20,0.8034777,"excel, commitment, client, file","update, valuations, 30 2023, 000",CONSIDER
0,22,0.7923318,"account, accounts, new account, new","transfer, general updates, general, person",CONSIDER
1,20,0.7881118,"investment, private investment, new private, private","update, valuations, 30 2023, 000",CONSIDER
20,22,0.78396666,"update, valuations, 30 2023, 000","transfer, general updates, general, person",CONSIDER
3,22,0.778723,"excel, commitment, client, file","transfer, general updates, general, person",CONSIDER
1,12,0.77552927,"investment, private investment, new private, private","loan, promissory, lender, loans",CONSIDER
1,18,0.77252984,"investment, private investment, new private, private","missing, missing data, updates, data",CONSIDER
1,3,0.767117,"investment, private investment, new private, private","excel, commitment, client, file",CONSIDER
13,22,0.7639681,"id, id id, investors, private","transfer, general updates, general, person",CONSIDER
16,22,0.763746,"distribution, distributions, received, transaction type","transfer, general updates, general, person",CONSIDER
8,12,0.7583799,"llc, person llc, series, preferred","loan, promissory, lender, loans",CONSIDER
3,15,0.75764036,"excel, commitment, client, file","backfill, accounts, data, statements",CONSIDER
8,13,0.75487405,"llc, person llc, series, preferred","id, id id, investors, private",CONSIDER
