topic_id,task_id,text
0,1215152897759629,"[onboarding] investment and or bank accounts - introduction email to bankers for feed and inquiry access to new accounts dear i hope all is well. our team has contracted with a houston, tx based firm "
0,1215180389706201,"new account please add the new account for as outlined below by [person] [email] new account bank account please provide contact information for your primary contact (e.g., name, phone number, and ema"
0,1213826898063956,"update saul schottenstein trust 1884 #8, #9, #10 history once obtained pending history from [person]. once obtained, ask to assist with updates."
0,1214050710185860,[client] - deutsche bank accounts not showing up
0,1213986359615383,master account question
0,1213720910838564,"general updates update to rathert master - please confirm if this impacts data feed and if so update [person][email] general updates team, we move the rathert family accounts under a new sub-master ac"
0,1213336320920412,401k accounts updates
0,1213264706864711,resolve issue with new account not showing due to filter
0,1213234514893066,"[person] new account and investments,attributes"
0,1215074789873060,"re: - issue — the issue with duplicate account values has reappeared, this time in [person]’s account. the portal appears to be showing double the actual account amount (please see the attached screen"
0,1215030428568346,new account please add the new accounts for the families outlined by in the excel files below multiple families [email] new account investment account please provide contact information for your prima
0,1214915816755125,"general updates please investigate and resolve why the two account ending in 2483 and 1414 is not receiving data for . per , the manager have confirmed the data feed is in place, but we are still not "
0,1214913907691374,"general updates please investigate and resolve why the st. andrew's endowment account ending in 3709 seems to have disappeared in , as outlined by [person] below [person] [email] general updates for ["
0,1214710769440171,"new account please set up the value based account in , referencing the attached form with the relevant attributes for b beyer, [person] [email] new account other team, please set up the value based ac"
0,1214614652800829,account registration should match the account name.
0,1210477464671510,please assign amegy accounts through new feeds to direct owners [client] provided the list of direct owners for each new amegy account (see [person] file): you may have to skip over the accounts which
0,1209173529687251,"please investigate the dec 2024 account balance discrepancy for [person] account -0271 the adjusted value of this online account is coming in $3,491,099.24 higher than the account statement as of 12/3"
0,1210318659785218,please link these accounts that are now feeding to their direct owners - currently linked to zrecon. the link to the file is in the description below. password to follow via slack. please connect with
0,1213891304458526,"general updates the account ending in 9653 for [person] moved from one master to a new [person] master is 0869-6185. please review and reconcile the account [person]

 [email] 

general updates

the ["
0,1211295493683330,"please connect the following wf accounts via xxxx5938 - previously connected via xxxx5947 - set up as an offline account
noting here backfilled valuations for both accounts above"
0,1213892170378842,general updates please add the two new master accounts to [person] (ending in 2107 and 7952) and also verify the accounts are still feeding for the 32 accounts outlined within the task below [person] 
0,1213812839186193,general updates please investigate why not all the info is feeding through the data feed for account ending in 5650 for [person] (specifically the fixed annuity as outlined by below) and fix [person] 
0,1213812797309489,"general updates the total value for [person] checking account ending in 97934 is not reflected in . please investigate if this due to account type or there is a different issue. per , there should be "
