topic_id,topic_label,topic_size,pct_of_total,pct_of_classified,kw_01,ctfidf_01,kw_02,ctfidf_02,kw_03,ctfidf_03,kw_04,ctfidf_04,kw_05,ctfidf_05,kw_06,ctfidf_06,kw_07,ctfidf_07,kw_08,ctfidf_08,kw_09,ctfidf_09,kw_10,ctfidf_10,sample_name_1,sample_name_2,sample_name_3,business_label
-1,outlier | outlier | outlier,423,15.8,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,outlier,0.0,Please review the Petrocom Energy Weekly Update 05/25/26 linked in the task desc,TOS EU Large cash return,Fix TOS UVF,Outliers / Unclassified
0,accounts | investment account | contact information,190,7.09,8.43,accounts,0.096935,investment account,0.044381,contact information,0.039149,data feed,0.034135,connection,0.029745,new accounts,0.028562,online account,0.024192,inquiries new,0.022788,balance,0.021548,backfill,0.020698,[Onboarding] investment and or bank accounts -  Introduction email to bankers fo,Please add the new JPM account for Letsos as outlined below by Carolina,Please hide the online positions for the deals below once the Fidelity accounts ,New Account & Data Feed Setup
1,accounts | support requests | dfo support,314,11.73,13.92,accounts,0.038257,support requests,0.032496,dfo support,0.032496,details missing,0.02466,asset class,0.024215,issue missing,0.021106,inquiries,0.020186,jsde,0.019599,data optional,0.017186,data missing,0.016979,Rodrigo Besoy - Addepar updates,Please create a workflow to detect when the name of the Security in Addepar does,Greg Letsos update,Portfolio Platform Account Updates
2,private investment | direct owner | commitment,505,18.86,22.39,private investment,0.057764,direct owner,0.036945,commitment,0.035779,asset class,0.02711,alternative investments,0.026786,contact number,0.02636,jsde,0.025814,holdings,0.025465,inquiries,0.021502,private investments,0.019092,Please add the new private investment for Letsos as outlined below by Carolina. ,Compile and file UVF support ticket Regions bank and stifel bank with addepar,"Review Annunziato 2020 Revocable Trust - EIV Fund Advisors III, LLC Inquiry emai",New Private Investment Entry
3,series | unfunded | lp,254,9.48,11.26,series,0.097932,unfunded,0.046174,lp,0.04489,capital,0.041442,trousdale sarosphere,0.038613,valuations,0.028815,equity,0.026068,excel,0.023423,llc llc,0.020834,loan,0.019966,"Mike Albanese, General updates",Mark Letsos Private investment update,Camp Family private investment update,Private Investment Updates & Valuations
4,billing | non-exempt marital | transfers,45,1.68,2.0,billing,0.08872,non-exempt marital,0.061606,transfers,0.060423,gst non-exempt,0.059354,marital trust,0.059354,schmulen gst,0.05748,verification,0.055154,cash flows,0.042705,noble mortgage,0.041953,dcs,0.037766,st. andrews vaughan nelson transactions backfill,CCP billing review for new client,Capital creek billing review,Trust & Estate Cash Flow Verification
5,checking | capital | audit,108,4.03,4.79,checking,0.054291,capital,0.053272,audit,0.051612,daily,0.042057,pdf,0.036269,brokerage,0.036141,jsde,0.026695,valuation,0.02381,asset class,0.023422,loan,0.022768,4618 World Parkway - Verify latest transactions have been captured by Arch,TOS Daily Task: Dashing Cost Basis for JSDE,Mosaic weekly audits,Capital Call Audit & Monthly Statement Review
6,cost basis | export | reporting,59,2.2,2.62,cost basis,0.199519,export,0.075865,reporting,0.073327,missing cost,0.045514,days,0.034136,grouping,0.03198,missing data,0.028469,asset class,0.028093,liquidity,0.025863,dfi,0.024272,TOS missing data,Validate the Square Deal import template,Missing Asset Sub-Class Attribute,Cost Basis & Data Quality Fixes
7,upload | llc llc | prepare,46,1.72,2.04,upload,0.098519,llc llc,0.098142,prepare,0.093516,lp,0.08359,document,0.075623,llog,0.061252,geib family,0.042753,geib,0.039604,family trust,0.038369,password,0.03315,Billing discussion with Ian,Prepare and send client invoices,Evaluate SAOS email on data issue for Woodland account at Morgan Stanley,Document Upload & Client Billing
8,reports | performance | benchmark,184,6.87,8.16,reports,0.056876,performance,0.051069,benchmark,0.036772,private capital,0.028865,quarterly,0.027851,excel,0.026152,chart,0.025308,views,0.022765,analysis,0.020935,asset,0.019426,CCP - view and report based views,Gary report changes,TOS audit views,Reporting & Performance Analytics
9,ownership | legal entity | vijay,93,3.47,4.12,ownership,0.109329,legal entity,0.10443,vijay,0.040242,direct owner,0.031679,respective,0.030628,owns,0.026276,merge,0.025275,holding account,0.02454,directly owned,0.02128,transfer,0.020887,"Process two Dissolved Oklahoma Entities for Ken and Dean: B Three Farming, LLC a",Please set up the ownership structure and add the missing items for Letsos. **No,Please update Andromaco [Direct Owner ID: 15502323; Entity ID: 21851675] as outl,Ownership Structure & Legal Entity Changes
10,audit | transaction | excel,69,2.58,3.06,audit,0.094988,transaction,0.056366,excel,0.040188,accounts,0.038361,monthly,0.03587,oil,0.035252,prior month,0.03471,cash flows,0.030086,clients,0.027484,real assets,0.025963,JSDE audit log research for deleted transaction,Bring HMI A2A Transaction history to Merge position up until 9/30/2025,Monthly task: unhide and update valuations from online to offline account for ML,Real Asset Transaction Audit
11,lender | loan payment | loans,107,4.0,4.75,lender,0.044803,loan payment,0.038543,loans,0.037436,attributes,0.036825,accounts,0.034039,eu,0.031455,date loan,0.031438,information like,0.03071,inquiries,0.030309,households,0.028909,Dorsar Portal view,"Camp and Beyer family PT, Attributes, Transactions",Gary ventures Liquidity profile,Loan & Lending Account Setup
12,sale | inquiries | direct deals,60,2.24,2.66,sale,0.072342,inquiries,0.062322,direct deals,0.053618,green grasshopper,0.047552,statements,0.044894,unlinked,0.041893,high inquiries,0.041732,loan,0.041702,received,0.038223,urgent,0.034713,"ian raphael, General updates",Follow up on DOR Holdings & DSC Investor,Reach out to Diego to request activity for DRGC's and CB's alternatives,Direct Deal Updates & Unlinked Accounts
13,access | views | columns,193,7.21,8.56,access,0.113585,views,0.050261,columns,0.031176,household,0.027043,portfolio,0.024335,accounts,0.022671,ownership structure,0.022162,owned,0.021741,filter,0.020452,owner id,0.019724,Addepar View update,Addepar Access request - Sandesh reviewing case,Check to see if Comerica accts are flowing into Addepar,Portfolio Platform View & Access Configuration
14,flow | inquiries | information like,28,1.05,1.24,flow,0.237549,inquiries,0.077054,information like,0.058555,low inquiries,0.056478,included description,0.048284,medium inquiries,0.045949,requests,0.045293,manually,0.040777,dfo support,0.036688,support requests,0.036688,Koshy Family - Client Portal updates,D Beyer Privates update,Please create a workflow to override custodial price per share for Contra Akero ,General & Ad Hoc Requests
