task_id,topic_id,topic_label,representative_doc
1215185759387529,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1215152897759629,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1215182094399391,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1215180389706201,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1215173880971150,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1215180179450275,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1215179106480450,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1215178219876321,17,owner_ma_direct owner_asset,please create [person] views for [client] [client] views devops - missing data - adjusted cost basis see eu [id] groupings position columns top level household adjusted cost basis (reference currency)
1215152485414425,13,id_id id_investors_private,"please hide the following positions with a $0 value, if there are any transaction please move them to positions - see ids mapped to entity id's ids mapped to [person] [id] [id] [id] [id] [id] [id] [id"
1215171722141203,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1215171658549917,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1213365551083396,16,distribution_distributions_received_transaction type,"4618 world parkway - verify latest transactions have been captured by $5,400 distribution received in jan, april, july and october every year."
1215135664087151,2,invoices_sent email_sent_email,prepare and send client invoices prepare all invoices by the last week of the month prior to the beginning of the new quarter. send invoices before the 1st. q1 invoices should be sent prior to january
1215135664087114,14,performance_commentary_benchmark_return,general updates please investigate and verify what the return of cpi + 4% should be and if ccp has the proper benchmark displayed in for the report included as a photo attachment by [person] in the ta
1214847479459866,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1215135659970480,13,id_id id_investors_private,"please hide the following positions with a $0 value, if there are any transaction please move them to positions - see ids mapped to entity id's ids mapped to [person] [id] [id] [id] [id] [id] [id] [id"
1215135659970471,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1215135564343980,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1215090628224475,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1215074249793735,7,client_portal_view_private client,- client portal updates
1215063585318901,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1215035004738937,15,backfill_accounts_data_statements,"please complete historical backfill for [client] for the four accounts noted in the task description below, utilizing the five excel files provided (also linked in task description below) we received "
1215032336803960,5,person_update person_update_person person,please update [person]
1215030331085505,7,client_portal_view_private client,- client portal updates
1213812350630599,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1213826898063956,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1214923725182311,12,loan_promissory_lender_loans,"new loan [employee] , new loan [employee] 

 [email] 

new loan

name of the promissory note.:
teal tuna to dcs

name of borrower.:
[person]

name of lender.:
teal tuna, llc

date of loan.:
dec 5, 202"
1214807520119272,5,person_update person_update_person person,please update [person]
1214790191549357,5,person_update person_update_person person,please update [person]
1214752837873536,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1214752837873531,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1214752942936742,15,backfill_accounts_data_statements,"please complete historical backfill for [client] for the four accounts noted in the task description below, utilizing the five excel files provided (also linked in task description below) we received "
1214745112031886,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213560771772443,7,client_portal_view_private client,- client portal updates
1214714253737385,5,person_update person_update_person person,please update [person]
1214708662146508,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1214708662146503,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1214708661115872,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1214625388150102,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1214050710185860,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1214452929014208,7,client_portal_view_private client,- client portal updates
1214307967018040,14,performance_commentary_benchmark_return,general updates please investigate and verify what the return of cpi + 4% should be and if ccp has the proper benchmark displayed in for the report included as a photo attachment by [person] in the ta
1214306515674510,7,client_portal_view_private client,- client portal updates
1214306515674505,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1214202930986414,17,owner_ma_direct owner_asset,please create [person] views for [client] [client] views devops - missing data - adjusted cost basis see eu [id] groupings position columns top level household adjusted cost basis (reference currency)
1214202635419206,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1214128690839917,7,client_portal_view_private client,- client portal updates
1214128690839897,7,client_portal_view_private client,- client portal updates
1214081042673537,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1214081042673531,2,invoices_sent email_sent_email,prepare and send client invoices prepare all invoices by the last week of the month prior to the beginning of the new quarter. send invoices before the 1st. q1 invoices should be sent prior to january
1214081042673526,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1214068138663282,2,invoices_sent email_sent_email,prepare and send client invoices prepare all invoices by the last week of the month prior to the beginning of the new quarter. send invoices before the 1st. q1 invoices should be sent prior to january
1214068138663264,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1213986359615404,5,person_update person_update_person person,please update [person]
1213986359615383,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1213962581925580,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213618014430777,13,id_id id_investors_private,"please hide the following positions with a $0 value, if there are any transaction please move them to positions - see ids mapped to entity id's ids mapped to [person] [id] [id] [id] [id] [id] [id] [id"
1213962500547506,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1213962500547501,20,update_valuations_30 2023_000,"please add a return of [client] for magdelena 6 of p$6,070,000, as of march 23th 2026. the latest valuation will be p$1,930,000. please add a return of [client] for magdelena 6 of p$6,070,000, as of m"
1213882008376463,12,loan_promissory_lender_loans,"new loan [employee] , new loan [employee] 

 [email] 

new loan

name of the promissory note.:
teal tuna to dcs

name of borrower.:
[person]

name of lender.:
teal tuna, llc

date of loan.:
dec 5, 202"
1213800796040989,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213740310715754,7,client_portal_view_private client,- client portal updates
1213740310715728,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1213720910838564,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1213725163169450,2,invoices_sent email_sent_email,prepare and send client invoices prepare all invoices by the last week of the month prior to the beginning of the new quarter. send invoices before the 1st. q1 invoices should be sent prior to january
1213725163042141,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213683806817242,7,client_portal_view_private client,- client portal updates
1213683806817224,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1213602032277600,21,cost basis_cost_basis_missing cost,cost basis update
1213572885228872,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1213557700037489,7,client_portal_view_private client,- client portal updates
1213557700037478,5,person_update person_update_person person,please update [person]
1213529664638256,7,client_portal_view_private client,- client portal updates
1213525837952076,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213525837952071,5,person_update person_update_person person,please update [person]
1213367946004329,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213336320920412,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1213316010089873,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1213264706864719,14,performance_commentary_benchmark_return,general updates please investigate and verify what the return of cpi + 4% should be and if ccp has the proper benchmark displayed in for the report included as a photo attachment by [person] in the ta
1213264706864711,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1213266878099234,7,client_portal_view_private client,- client portal updates
1213266878099219,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1213266878099214,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1213266878099209,7,client_portal_view_private client,- client portal updates
1213234514893071,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1213234514893066,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1213232249669904,2,invoices_sent email_sent_email,prepare and send client invoices prepare all invoices by the last week of the month prior to the beginning of the new quarter. send invoices before the 1st. q1 invoices should be sent prior to january
1213232249669899,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1213204585736114,5,person_update person_update_person person,please update [person]
1213144730263264,5,person_update person_update_person person,please update [person]
1213127498279378,13,id_id id_investors_private,"please hide the following positions with a $0 value, if there are any transaction please move them to positions - see ids mapped to entity id's ids mapped to [person] [id] [id] [id] [id] [id] [id] [id"
1213116370192760,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1213034605245376,15,backfill_accounts_data_statements,"please complete historical backfill for [client] for the four accounts noted in the task description below, utilizing the five excel files provided (also linked in task description below) we received "
1213015471069489,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1212911941132829,17,owner_ma_direct owner_asset,please create [person] views for [client] [client] views devops - missing data - adjusted cost basis see eu [id] groupings position columns top level household adjusted cost basis (reference currency)
1212943981884903,17,owner_ma_direct owner_asset,please create [person] views for [client] [client] views devops - missing data - adjusted cost basis see eu [id] groupings position columns top level household adjusted cost basis (reference currency)
1212891789090589,14,performance_commentary_benchmark_return,general updates please investigate and verify what the return of cpi + 4% should be and if ccp has the proper benchmark displayed in for the report included as a photo attachment by [person] in the ta
1212932199776343,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1212927015176581,5,person_update person_update_person person,please update [person]
1212927015176574,7,client_portal_view_private client,- client portal updates
1212872920656841,21,cost basis_cost_basis_missing cost,cost basis update
1212872920656830,14,performance_commentary_benchmark_return,general updates please investigate and verify what the return of cpi + 4% should be and if ccp has the proper benchmark displayed in for the report included as a photo attachment by [person] in the ta
1212842799376591,12,loan_promissory_lender_loans,"new loan [employee] , new loan [employee] 

 [email] 

new loan

name of the promissory note.:
teal tuna to dcs

name of borrower.:
[person]

name of lender.:
teal tuna, llc

date of loan.:
dec 5, 202"
1212828262882563,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1212808650565696,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1212738689619764,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1212713168368057,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1212679059843194,18,missing_missing data_updates_data,"updates updates [person] [email] updates missing data (e.g., missing cost basis, etc.) please provide more details on the missing data (optional).:
please make sure that jld's investment in both 300 o"
1212609852618962,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1212533498980138,13,id_id id_investors_private,"please hide the following positions with a $0 value, if there are any transaction please move them to positions - see ids mapped to entity id's ids mapped to [person] [id] [id] [id] [id] [id] [id] [id"
1212506159815500,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1212506159815490,12,loan_promissory_lender_loans,"new loan [employee] , new loan [employee] 

 [email] 

new loan

name of the promissory note.:
teal tuna to dcs

name of borrower.:
[person]

name of lender.:
teal tuna, llc

date of loan.:
dec 5, 202"
1212436929029947,7,client_portal_view_private client,- client portal updates
1212419572152824,10,valuation_import_valuation update_update,valuation import | 2025-06-05
1212419572152817,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1212389409300355,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1212389409300350,14,performance_commentary_benchmark_return,general updates please investigate and verify what the return of cpi + 4% should be and if ccp has the proper benchmark displayed in for the report included as a photo attachment by [person] in the ta
1212368123867755,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1207890669282140,17,owner_ma_direct owner_asset,please create [person] views for [client] [client] views devops - missing data - adjusted cost basis see eu [id] groupings position columns top level household adjusted cost basis (reference currency)
1210190945994415,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1209051950860014,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1207094292719702,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1204789599626515,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1207235061266622,2,invoices_sent email_sent_email,prepare and send client invoices prepare all invoices by the last week of the month prior to the beginning of the new quarter. send invoices before the 1st. q1 invoices should be sent prior to january
1215135664087129,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1213528233402401,4,yes_access_yes yes_person,"give [person], [person], [person] and [person] access to [person]"
1215074789873060,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1213812932226305,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1205538026541898,21,cost basis_cost_basis_missing cost,cost basis update
1214372536838891,15,backfill_accounts_data_statements,"please complete historical backfill for [client] for the four accounts noted in the task description below, utilizing the five excel files provided (also linked in task description below) we received "
1215030428568346,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1215032336803984,5,person_update person_update_person person,please update [person]
1214061627948653,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1205538026541893,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1214977806561258,1,investment_private investment_new private_private,"new private investment [person], new private investment [person] [email] new private investment (series b) [client] , ltd. alternative venture [client] may 19, 2026 500000 please provide contact infor"
1214974220574177,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1214974960548792,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1215035004738931,8,llc_person llc_series_preferred,"ellipse world, inc. – series b-2 down round / nav update hi team, one of our portfolio companies, ellipse world, inc., closed a series b-2 preferred stock financing on may 5, 2026 (stockholder consent"
1214976654384319,17,owner_ma_direct owner_asset,please create [person] views for [client] [client] views devops - missing data - adjusted cost basis see eu [id] groupings position columns top level household adjusted cost basis (reference currency)
1214915816755125,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1214923725182319,9,ownership_client_trust_person,"[person] [client] , llc ownership change"
1214913907691374,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1214920733753629,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1214849290552085,22,transfer_general updates_general_person,"general updates [person], general updates [person]

 [email] 

general updates

[person] holds an investment in his alternative investment account, [person] – private placements. the highcrest positio"
1214142605760159,3,excel_commitment_client_file,"reach out to [person] from armanino requesting the quarter's real asset entity cash flows in excel sample text for your email to [person]: hi [person], would you mind sending us a file of the real ass"
1214547423855634,15,backfill_accounts_data_statements,"please complete historical backfill for [client] for the four accounts noted in the task description below, utilizing the five excel files provided (also linked in task description below) we received "
1215181850858947,16,distribution_distributions_received_transaction type,"4618 world parkway - verify latest transactions have been captured by $5,400 distribution received in jan, april, july and october every year."
1214710769440171,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1214587055007123,19,meeting_reminder_schedule_follow,schedule a review meeting with the sisters
1214614652800829,0,account_accounts_new account_new,"new account please add/process the new boyer account as outlined by below [person] [email] new account investment account please provide contact information for your primary contact (e.g., name, phone"
1214368546950161,6,asset_class_asset class_missing,"updates updates [person] [email] updates missing attribute (e.g., asset class or sub-asset class) please provide more details on the missing attribute such as security type, security identifier etc. y"
1214451413707644,12,loan_promissory_lender_loans,"new loan [employee] , new loan [employee] 

 [email] 

new loan

name of the promissory note.:
teal tuna to dcs

name of borrower.:
[person]

name of lender.:
teal tuna, llc

date of loan.:
dec 5, 202"
1214411387029270,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1214067987857052,11,k1_llc_lp_investments,reminder task: [client] and/or [person] if they'd like us to capture/store k-1s in [person] for unlinked direct deals ask [client] and [person] if they'd like us to capture/store k-1s in [person] for 
1212892231877471,7,client_portal_view_private client,- client portal updates
